ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.125,5.125,1025,,-183,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.135,5.135,1027,,-185,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;141500,20110916;141500,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,600,1,4.21,2526,5.135,5.135,3081,,-555,Long,LOT,20110916;131031,20110916;131031,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.135,5.135,1027,,-185,Long,LOT,20110916;131030,20110916;131030,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,500,1,4.21,2105,5.135,5.135,2567.5,,-462.5,Long,LOT,20110916;131030,20110916;131030,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;131030,20110916;131030,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,500,1,4.21,2105,5.135,5.135,2567.5,,-462.5,Long,LOT,20110915;155903,20110915;155903,,317593142
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,4000,1,4.21,16840,3.275,3.275,13100,,3740,Long,LOT,20110812;150830,20110812;150830,,310042388
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.295,3.295,329.5,,91.5,Long,LOT,20110812;150805,20110812;150805,,310032526
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,3600,1,4.21,15156,3.295,3.295,11862,,3294,Long,LOT,20110812;144810,20110812;144810,,310032526
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.295,3.295,329.5,,91.5,Long,LOT,20110812;144810,20110812;144810,,310032526
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.295,3.295,329.5,,91.5,Long,LOT,20110812;144801,20110812;144801,,310032526
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.295,3.295,329.5,,91.5,Long,LOT,20110812;144143,20110812;144143,,310032526
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,1200,1,4.21,5052,3.325,3.325,3990,,1062,Long,LOT,20110812;133355,20110812;133355,,310001330
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,700,1,4.21,2947,3.335,3.335,2334.5,,612.5,Long,LOT,20110812;133337,20110812;133337,,309990459
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,79,1,4.21,332.59,3.335,3.335,263.465,,69.125,Long,LOT,20110812;130122,20110812;130122,,309990459
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,900,1,4.21,3789,3.355,3.355,3019.5,,769.5,Long,LOT,20110812;123955,20110812;123955,,309980969
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,721,1,4.21,3035.41,3.355,3.355,2418.955,,616.455,Long,LOT,20110812;123943,20110812;123943,,309980969
